"titles_south","word","n","total","tf","idf","tf_idf"
"Action needed on climate change to protect tourism, agriculture","this",4,703,0.00568990042674253,0.0645385211375712,0.000367217758961998
"Action needed on climate change to protect tourism, agriculture","type",4,703,0.00568990042674253,0,0
"Climate change talk subtle in state","2019",4,1549,0.0025823111684958,1.16315080980568,0.00300361732680615
"Climate change talk subtle in state","77",4,1549,0.0025823111684958,0.693147180559945,0.00178992170577132
"Climate change talk subtle in state","any",4,1549,0.0025823111684958,0.826678573184468,0.00213474131229043
"Climate change talk subtle in state","are",4,1549,0.0025823111684958,0.0645385211375712,0.000166658543931753
"Climate change talk subtle in state","at",4,1549,0.0025823111684958,0,0
"Climate change talk subtle in state","bridgewater",4,1549,0.0025823111684958,2.07944154167984,0.00536976511731397
"Climate change talk subtle in state","bullard",4,1549,0.0025823111684958,2.77258872223978,0.0071596868230853
"Climate change talk subtle in state","daily",4,1549,0.0025823111684958,0.575364144903562,0.00148576925733651
"Climate change talk subtle in state","i",4,1549,0.0025823111684958,0.287682072451781,0.000742884628668253
"Climate change talk subtle in state","issues",4,1549,0.0025823111684958,0.980829253011726,0.00253280633443958
"Climate change talk subtle in state","its",4,1549,0.0025823111684958,0.207639364778245,0.000536189450686235
"Climate change talk subtle in state","leaders",4,1549,0.0025823111684958,1.38629436111989,0.00357984341154265
"Climate change talk subtle in state","legislative",4,1549,0.0025823111684958,0.575364144903562,0.00148576925733651
"Climate change talk subtle in state","mandates",4,1549,0.0025823111684958,2.77258872223978,0.0071596868230853
"Climate change talk subtle in state","new",4,1549,0.0025823111684958,0,0
"Climate change talk subtle in state","ok",4,1549,0.0025823111684958,0.980829253011726,0.00253280633443958
"Climate change talk subtle in state","or",4,1549,0.0025823111684958,0.207639364778245,0.000536189450686235
"Climate change talk subtle in state","policy",4,1549,0.0025823111684958,0,0
"Climate change talk subtle in state","power",4,1549,0.0025823111684958,0.693147180559945,0.00178992170577132
"Climate change talk subtle in state","so",4,1549,0.0025823111684958,0.374693449441411,0.000967575079254773
"Climate change talk subtle in state","wagner",4,1549,0.0025823111684958,2.77258872223978,0.0071596868230853
"Climate change talk subtle in state","when",4,1549,0.0025823111684958,0.133531392624523,0.000344819606519103
"Climate change talk subtle in state","without",4,1549,0.0025823111684958,1.38629436111989,0.00357984341154265
"Climate change: Just deal with it","89",4,827,0.00483675937122128,0.0645385211375712,0.00031215729691691
"Climate change: Just deal with it","carbon",4,827,0.00483675937122128,0.826678573184468,0.00399844533583781
"Climate change: Just deal with it","deal",4,827,0.00483675937122128,0.980829253011726,0.00474403508107244
"Climate change: Just deal with it","from",4,827,0.00483675937122128,0.133531392624523,0.000645859214628888
"Climate change: Just deal with it","if",4,827,0.00483675937122128,0.207639364778245,0.00100430164342561
"Climate change: Just deal with it","mexico",4,827,0.00483675937122128,0,0
"Climate change: Just deal with it","this",4,827,0.00483675937122128,0.0645385211375712,0.00031215729691691
"Climate changes affect everyone, time to act","2019",4,668,0.00598802395209581,1.16315080980568,0.00696497490901605
"Climate changes affect everyone, time to act","act",4,668,0.00598802395209581,0.980829253011726,0.00587322905995046
"Climate changes affect everyone, time to act","all",4,668,0.00598802395209581,0,0
"Climate changes affect everyone, time to act","as",4,668,0.00598802395209581,0,0
"Climate changes affect everyone, time to act","bill",4,668,0.00598802395209581,1.38629436111989,0.00830116383904126
"Climate changes affect everyone, time to act","but",4,668,0.00598802395209581,0.133531392624523,0.000799589177392351
"Climate changes affect everyone, time to act","dangerous",4,668,0.00598802395209581,1.67397643357167,0.0100238109794711
"Climate changes affect everyone, time to act","environmental",4,668,0.00598802395209581,0.374693449441411,0.00224367334994857
"Climate changes affect everyone, time to act","for",4,668,0.00598802395209581,0,0
"Climate changes affect everyone, time to act","global",4,668,0.00598802395209581,0.287682072451781,0.00172264714042983
"Climate changes affect everyone, time to act","mcsally",4,668,0.00598802395209581,2.77258872223978,0.0166023276780825
"Climate changes affect everyone, time to act","people",4,668,0.00598802395209581,0.133531392624523,0.000799589177392351
"Climate changes affect everyone, time to act","states",4,668,0.00598802395209581,0.470003629245736,0.00281439298949542
"Climate changes affect everyone, time to act","united",4,668,0.00598802395209581,0.374693449441411,0.00224367334994857
"Climate-change science proven and certain as dangers to planet grow","89",4,978,0.00408997955010225,0.0645385211375712,0.000263961231646508
"Climate-change science proven and certain as dangers to planet grow","all",4,978,0.00408997955010225,0,0
"Climate-change science proven and certain as dangers to planet grow","certain",4,978,0.00408997955010225,1.38629436111989,0.00566991558740242
"Climate-change science proven and certain as dangers to planet grow","have",4,978,0.00408997955010225,0,0
"Climate-change science proven and certain as dangers to planet grow","or",4,978,0.00408997955010225,0.207639364778245,0.000849240755739242
"Climate-change science proven and certain as dangers to planet grow","planet",4,978,0.00408997955010225,1.38629436111989,0.00566991558740242
"Climate-change science proven and certain as dangers to planet grow","rainfall",4,978,0.00408997955010225,1.16315080980568,0.00475726302579011
"Climate-change science proven and certain as dangers to planet grow","this",4,978,0.00408997955010225,0.0645385211375712,0.000263961231646508
"Climate-change science proven and certain as dangers to planet grow","type",4,978,0.00408997955010225,0,0
"Climate-change science proven and certain as dangers to planet grow","year",4,978,0.00408997955010225,0.575364144903562,0.00235322758651764
"Fight climate change - for justice and health","89",4,875,0.00457142857142857,0.0645385211375712,0.00029503323948604
"Fight climate change - for justice and health","90",4,875,0.00457142857142857,0.0645385211375712,0.00029503323948604
"Fight climate change - for justice and health","are",4,875,0.00457142857142857,0.0645385211375712,0.00029503323948604
"Fight climate change - for justice and health","by",4,875,0.00457142857142857,0,0
"Fight climate change - for justice and health","can",4,875,0.00457142857142857,0.287682072451781,0.00131511804549386
"Fight climate change - for justice and health","diseases",4,875,0.00457142857142857,2.77258872223978,0.0126746913016676
"Fight climate change - for justice and health","earth",4,875,0.00457142857142857,0.693147180559945,0.00316867282541689
"Fight climate change - for justice and health","economy",4,875,0.00457142857142857,0.575364144903562,0.00263023609098771
"Fight climate change - for justice and health","fe",4,875,0.00457142857142857,0.575364144903562,0.00263023609098771
"Fight climate change - for justice and health","justice",4,875,0.00457142857142857,1.67397643357167,0.00765246369632764
"Fight climate change - for justice and health","low",4,875,0.00457142857142857,0.575364144903562,0.00263023609098771
"Fight climate change - for justice and health","matter",4,875,0.00457142857142857,0,0
"Fight climate change - for justice and health","or",4,875,0.00457142857142857,0.207639364778245,0.000949208524700547
"Fight climate change - for justice and health","renewable",4,875,0.00457142857142857,2.07944154167984,0.00950601847625068
"Fight climate change - for justice and health","santa",4,875,0.00457142857142857,0.575364144903562,0.00263023609098771
"Fight climate change - for justice and health","solar",4,875,0.00457142857142857,0.980829253011726,0.00448379087091075
"Fight climate change - for justice and health","this",4,875,0.00457142857142857,0.0645385211375712,0.00029503323948604
"High and Dry","78",4,1628,0.00245700245700246,0,0
"High and Dry","end",4,1628,0.00245700245700246,0,0
"High and Dry","i",4,1628,0.00245700245700246,0.287682072451781,0.000706835558849584
"High and Dry","resources",4,1628,0.00245700245700246,0.207639364778245,0.000510170429430576
"High and Dry","shumake",4,1628,0.00245700245700246,2.77258872223978,0.00681225730280044
"High and Dry","state",4,1628,0.00245700245700246,0.207639364778245,0.000510170429430576
"High and Dry","such",4,1628,0.00245700245700246,0.826678573184468,0.00203115128546552
"High and Dry","than",4,1628,0.00245700245700246,0.980829253011726,0.0024098998845497
"High and Dry","town",4,1628,0.00245700245700246,1.67397643357167,0.00411296421024981
"High and Dry","us",4,1628,0.00245700245700246,0.207639364778245,0.000510170429430576
"High and Dry","we",4,1628,0.00245700245700246,0,0
"Hot or cold?","2020",4,1298,0.00308166409861325,1.38629436111989,0.00427209356277316
"Hot or cold?","78",4,1298,0.00308166409861325,0,0
"Hot or cold?","an",4,1298,0.00308166409861325,0,0
"Hot or cold?","believe",4,1298,0.00308166409861325,0.980829253011726,0.00302258629587589
"Hot or cold?","cold",4,1298,0.00308166409861325,2.77258872223978,0.00854418712554632
"Hot or cold?","covid",4,1298,0.00308166409861325,1.67397643357167,0.00515863307726247
"Hot or cold?","davenport",4,1298,0.00308166409861325,2.77258872223978,0.00854418712554632
"Hot or cold?","gas",4,1298,0.00308166409861325,0.470003629245736,0.00144839331046452
"Hot or cold?","issues",4,1298,0.00308166409861325,0.980829253011726,0.00302258629587589
"Hot or cold?","like",4,1298,0.00308166409861325,0.0645385211375712,0.000198886043567245
"Hot or cold?","new",4,1298,0.00308166409861325,0,0
"Hot or cold?","news",4,1298,0.00308166409861325,0,0
"Hot or cold?","now",4,1298,0.00308166409861325,0.470003629245736,0.00144839331046452
"Hot or cold?","ok",4,1298,0.00308166409861325,0.980829253011726,0.00302258629587589
"Hot or cold?","oklahoman",4,1298,0.00308166409861325,0.980829253011726,0.00302258629587589
"Hot or cold?","people",4,1298,0.00308166409861325,0.133531392624523,0.000411498898688821
"Hot or cold?","power",4,1298,0.00308166409861325,0.693147180559945,0.00213604678138658
"Hot or cold?","said",4,1298,0.00308166409861325,0.693147180559945,0.00213604678138658
"Hot or cold?","see",4,1298,0.00308166409861325,0.470003629245736,0.00144839331046452
"Industrial Evolution","78",4,4393,0.000910539494650581,0,0
"Industrial Evolution","89",4,4393,0.000910539494650581,0.0645385211375712,5.87648724220999e-05
"Industrial Evolution","al",4,4393,0.000910539494650581,2.07944154167984,0.00189341365051658
"Industrial Evolution","amount",4,4393,0.000910539494650581,1.67397643357167,0.00152422165588133
"Industrial Evolution","awards",4,4393,0.000910539494650581,2.77258872223978,0.00252455153402211
"Industrial Evolution","back",4,4393,0.000910539494650581,0.980829253011726,0.000893083772375804
"Industrial Evolution","challenges",4,4393,0.000910539494650581,1.67397643357167,0.00152422165588133
"Industrial Evolution","conservation",4,4393,0.000910539494650581,1.38629436111989,0.00126227576701105
"Industrial Evolution","deal",4,4393,0.000910539494650581,0.980829253011726,0.000893083772375804
"Industrial Evolution","did",4,4393,0.000910539494650581,1.67397643357167,0.00152422165588133
"Industrial Evolution","down",4,4393,0.000910539494650581,1.38629436111989,0.00126227576701105
"Industrial Evolution","drinking",4,4393,0.000910539494650581,2.07944154167984,0.00189341365051658
"Industrial Evolution","economy",4,4393,0.000910539494650581,0.575364144903562,0.000523891777740553
"Industrial Evolution","few",4,4393,0.000910539494650581,1.67397643357167,0.00152422165588133
"Industrial Evolution","gas",4,4393,0.000910539494650581,0.470003629245736,0.000427956867057351
"Industrial Evolution","get",4,4393,0.000910539494650581,0.826678573184468,0.000752723490265848
"Industrial Evolution","growth",4,4393,0.000910539494650581,1.67397643357167,0.00152422165588133
"Industrial Evolution","huge",4,4393,0.000910539494650581,2.07944154167984,0.00189341365051658
"Industrial Evolution","hundred",4,4393,0.000910539494650581,2.07944154167984,0.00189341365051658
"Industrial Evolution","i",4,4393,0.000910539494650581,0.287682072451781,0.000261945888870276
"Industrial Evolution","industry",4,4393,0.000910539494650581,0,0
"Industrial Evolution","john",4,4393,0.000910539494650581,2.07944154167984,0.00189341365051658
"Industrial Evolution","lawns",4,4393,0.000910539494650581,2.77258872223978,0.00252455153402211
"Industrial Evolution","less",4,4393,0.000910539494650581,0.826678573184468,0.000752723490265848
"Industrial Evolution","levels",4,4393,0.000910539494650581,1.67397643357167,0.00152422165588133
"Industrial Evolution","major",4,4393,0.000910539494650581,1.67397643357167,0.00152422165588133
"Industrial Evolution","manufacturing",4,4393,0.000910539494650581,1.67397643357167,0.00152422165588133
"Industrial Evolution","many",4,4393,0.000910539494650581,0.374693449441411,0.000341173184103265
"Industrial Evolution","most",4,4393,0.000910539494650581,0.575364144903562,0.000523891777740553
"Industrial Evolution","move",4,4393,0.000910539494650581,1.16315080980568,0.00105909475056288
"Industrial Evolution","municipalities",4,4393,0.000910539494650581,2.77258872223978,0.00252455153402211
"Industrial Evolution","natural",4,4393,0.000910539494650581,0,0
"Industrial Evolution","patterns",4,4393,0.000910539494650581,1.38629436111989,0.00126227576701105
"Industrial Evolution","planned",4,4393,0.000910539494650581,2.77258872223978,0.00252455153402211
"Industrial Evolution","rainfall",4,4393,0.000910539494650581,1.16315080980568,0.00105909475056288
"Industrial Evolution","ranchers",4,4393,0.000910539494650581,2.07944154167984,0.00189341365051658
"Industrial Evolution","recent",4,4393,0.000910539494650581,0.693147180559945,0.000631137883505527
"Industrial Evolution","recently",4,4393,0.000910539494650581,1.38629436111989,0.00126227576701105
"Industrial Evolution","resources",4,4393,0.000910539494650581,0.207639364778245,0.00018906384227475
"Industrial Evolution","still",4,4393,0.000910539494650581,0.980829253011726,0.000893083772375804
"Industrial Evolution","summer",4,4393,0.000910539494650581,1.16315080980568,0.00105909475056288
"Industrial Evolution","supplies",4,4393,0.000910539494650581,2.77258872223978,0.00252455153402211
"Industrial Evolution","that's",4,4393,0.000910539494650581,1.38629436111989,0.00126227576701105
"Industrial Evolution","too",4,4393,0.000910539494650581,1.16315080980568,0.00105909475056288
"Industrial Evolution","two",4,4393,0.000910539494650581,0.980829253011726,0.000893083772375804
"Industrial Evolution","units",4,4393,0.000910539494650581,2.77258872223978,0.00252455153402211
"Industrial Evolution","uses",4,4393,0.000910539494650581,2.77258872223978,0.00252455153402211
"Industrial Evolution","wells",4,4393,0.000910539494650581,1.67397643357167,0.00152422165588133
"Industrial Evolution","would",4,4393,0.000910539494650581,0.374693449441411,0.000341173184103265
"Is Climate Change Denial Thawing in Texas?","1",4,2881,0.00138840680319334,0,0
"Is Climate Change Denial Thawing in Texas?","2020",4,2881,0.00138840680319334,1.38629436111989,0.00192474052220741
"Is Climate Change Denial Thawing in Texas?","also",4,2881,0.00138840680319334,0.470003629245736,0.000652556236370338
"Is Climate Change Denial Thawing in Texas?","been",4,2881,0.00138840680319334,0.287682072451781,0.000399419746548811
"Is Climate Change Denial Thawing in Texas?","business",4,2881,0.00138840680319334,0.826678573184468,0.00114776615506348
"Is Climate Change Denial Thawing in Texas?","coal",4,2881,0.00138840680319334,1.67397643357167,0.00232416026875623
"Is Climate Change Denial Thawing in Texas?","coalition",4,2881,0.00138840680319334,2.07944154167984,0.00288711078331112
"Is Climate Change Denial Thawing in Texas?","conservation",4,2881,0.00138840680319334,1.38629436111989,0.00192474052220741
"Is Climate Change Denial Thawing in Texas?","conservatives",4,2881,0.00138840680319334,2.77258872223978,0.00384948104441483
"Is Climate Change Denial Thawing in Texas?","every",4,2881,0.00138840680319334,0.693147180559945,0.000962370261103707
"Is Climate Change Denial Thawing in Texas?","government",4,2881,0.00138840680319334,0.374693449441411,0.000520226934316433
"Is Climate Change Denial Thawing in Texas?","greenhouse",4,2881,0.00138840680319334,0.575364144903562,0.000798839493097621
"Is Climate Change Denial Thawing in Texas?","had",4,2881,0.00138840680319334,0.374693449441411,0.000520226934316433
"Is Climate Change Denial Thawing in Texas?","how",4,2881,0.00138840680319334,0.575364144903562,0.000798839493097621
"Is Climate Change Denial Thawing in Texas?","i",4,2881,0.00138840680319334,0.287682072451781,0.000399419746548811
"Is Climate Change Denial Thawing in Texas?","issue",4,2881,0.00138840680319334,1.16315080980568,0.00161492649747404
"Is Climate Change Denial Thawing in Texas?","leaders",4,2881,0.00138840680319334,1.38629436111989,0.00192474052220741
"Is Climate Change Denial Thawing in Texas?","most",4,2881,0.00138840680319334,0.575364144903562,0.000798839493097621
"Is Climate Change Denial Thawing in Texas?","much",4,2881,0.00138840680319334,0.374693449441411,0.000520226934316433
"Is Climate Change Denial Thawing in Texas?","need",4,2881,0.00138840680319334,0.374693449441411,0.000520226934316433
"Is Climate Change Denial Thawing in Texas?","organization",4,2881,0.00138840680319334,1.38629436111989,0.00192474052220741
"Is Climate Change Denial Thawing in Texas?","party",4,2881,0.00138840680319334,1.67397643357167,0.00232416026875623
"Is Climate Change Denial Thawing in Texas?","policy",4,2881,0.00138840680319334,0,0
"Is Climate Change Denial Thawing in Texas?","president",4,2881,0.00138840680319334,0.826678573184468,0.00114776615506348
"Is Climate Change Denial Thawing in Texas?","problem",4,2881,0.00138840680319334,0.980829253011726,0.00136179000765252
"Is Climate Change Denial Thawing in Texas?","sources",4,2881,0.00138840680319334,0,0
"Is Climate Change Denial Thawing in Texas?","thawing",4,2881,0.00138840680319334,2.77258872223978,0.00384948104441483
"Is Climate Change Denial Thawing in Texas?","those",4,2881,0.00138840680319334,0.374693449441411,0.000520226934316433
"Is Climate Change Denial Thawing in Texas?","txoga",4,2881,0.00138840680319334,2.77258872223978,0.00384948104441483
"Is Climate Change Denial Thawing in Texas?","unexpected",4,2881,0.00138840680319334,2.77258872223978,0.00384948104441483
"Is Climate Change Denial Thawing in Texas?","university",4,2881,0.00138840680319334,0.980829253011726,0.00136179000765252
"Is Climate Change Denial Thawing in Texas?","up",4,2881,0.00138840680319334,0.470003629245736,0.000652556236370338
"Is Climate Change Denial Thawing in Texas?","voters",4,2881,0.00138840680319334,1.67397643357167,0.00232416026875623
"Is Climate Change Denial Thawing in Texas?","way",4,2881,0.00138840680319334,0.374693449441411,0.000520226934316433
"Is Climate Change Denial Thawing in Texas?","were",4,2881,0.00138840680319334,0.575364144903562,0.000798839493097621
"Is Climate Change Denial Thawing in Texas?","when",4,2881,0.00138840680319334,0.133531392624523,0.000185395893959768
"Is Climate Change Denial Thawing in Texas?","which",4,2881,0.00138840680319334,0.374693449441411,0.000520226934316433
"Legislature must act boldly on climate change","1",4,923,0.00433369447453954,0,0
"Legislature must act boldly on climate change","72",4,923,0.00433369447453954,0.374693449441411,0.0016238069314904
"Legislature must act boldly on climate change","89",4,923,0.00433369447453954,0.0645385211375712,0.000279690232448846
"Legislature must act boldly on climate change","all",4,923,0.00433369447453954,0,0
"Legislature must act boldly on climate change","courage",4,923,0.00433369447453954,2.77258872223978,0.0120155524257412
"Legislature must act boldly on climate change","do",4,923,0.00433369447453954,0.693147180559945,0.0030038881064353
"Legislature must act boldly on climate change","global",4,923,0.00433369447453954,0.287682072451781,0.00124672620780837
"Legislature must act boldly on climate change","must",4,923,0.00433369447453954,0.693147180559945,0.0030038881064353
"Legislature must act boldly on climate change","this",4,923,0.00433369447453954,0.0645385211375712,0.000279690232448846
"Legislature must act boldly on climate change","warming",4,923,0.00433369447453954,0.287682072451781,0.00124672620780837
"Legislature must act boldly on climate change","what",4,923,0.00433369447453954,0.374693449441411,0.0016238069314904
"Legislature must act boldly on climate change","will",4,923,0.00433369447453954,0.0645385211375712,0.000279690232448846
"Legislature must act boldly on climate change","worse",4,923,0.00433369447453954,1.38629436111989,0.0060077762128706
"Oklahoma faith community to discuss climate and environment","1",4,1057,0.00378429517502365,0,0
"Oklahoma faith community to discuss climate and environment","73",4,1057,0.00378429517502365,0.133531392624523,0.00050532220482317
"Oklahoma faith community to discuss climate and environment","all",4,1057,0.00378429517502365,0,0
"Oklahoma faith community to discuss climate and environment","an",4,1057,0.00378429517502365,0,0
"Oklahoma faith community to discuss climate and environment","as",4,1057,0.00378429517502365,0,0
"Oklahoma faith community to discuss climate and environment","at",4,1057,0.00378429517502365,0,0
"Oklahoma faith community to discuss climate and environment","be",4,1057,0.00378429517502365,0,0
"Oklahoma faith community to discuss climate and environment","city",4,1057,0.00378429517502365,0.575364144903562,0.00217734775744016
"Oklahoma faith community to discuss climate and environment","community",4,1057,0.00378429517502365,1.67397643357167,0.00633482094066858
"Oklahoma faith community to discuss climate and environment","discuss",4,1057,0.00378429517502365,2.07944154167984,0.00786922059292275
"Oklahoma faith community to discuss climate and environment","have",4,1057,0.00378429517502365,0,0
"Oklahoma faith community to discuss climate and environment","his",4,1057,0.00378429517502365,0.693147180559945,0.00262307353097425
"Oklahoma faith community to discuss climate and environment","issued",4,1057,0.00378429517502365,1.38629436111989,0.0052461470619485
"Oklahoma faith community to discuss climate and environment","issues",4,1057,0.00378429517502365,0.980829253011726,0.00371174740969433
"Oklahoma faith community to discuss climate and environment","nbsp",4,1057,0.00378429517502365,2.77258872223978,0.010492294123897
"Oklahoma faith community to discuss climate and environment","ok",4,1057,0.00378429517502365,0.980829253011726,0.00371174740969433
"Oklahoma faith community to discuss climate and environment","oklahoman",4,1057,0.00378429517502365,0.980829253011726,0.00371174740969433
"Oklahoma faith community to discuss climate and environment","on",4,1057,0.00378429517502365,0,0
"Oklahoma faith community to discuss climate and environment","statement",4,1057,0.00378429517502365,1.67397643357167,0.00633482094066858
"Oklahoma faith community to discuss climate and environment","that",4,1057,0.00378429517502365,0,0
"Oklahoma faith community to discuss climate and environment","warming",4,1057,0.00378429517502365,0.287682072451781,0.00108867387872008
"POWER SHIFT","75",4,868,0.00460829493087558,1.38629436111989,0.00638845327705019
"POWER SHIFT","economy",4,868,0.00460829493087558,0.575364144903562,0.00265144767236664
"POWER SHIFT","future",4,868,0.00460829493087558,0.693147180559945,0.00319422663852509
"POWER SHIFT","good",4,868,0.00460829493087558,0.575364144903562,0.00265144767236664
"POWER SHIFT","greenhouse",4,868,0.00460829493087558,0.575364144903562,0.00265144767236664
"POWER SHIFT","industry",4,868,0.00460829493087558,0,0
"POWER SHIFT","it",4,868,0.00460829493087558,0.0645385211375712,0.000297412539804475
"POWER SHIFT","than",4,868,0.00460829493087558,0.980829253011726,0.00451995047470842
"Strong tornadoes not linked to climate change, experts say","66",4,969,0.00412796697626419,1.16315080980568,0.0048014481312928
"Strong tornadoes not linked to climate change, experts say","76",4,969,0.00412796697626419,0.575364144903562,0.00237508418948839
"Strong tornadoes not linked to climate change, experts say","but",4,969,0.00412796697626419,0.133531392624523,0.000551213179048597
"Strong tornadoes not linked to climate change, experts say","city",4,969,0.00412796697626419,0.575364144903562,0.00237508418948839
"Strong tornadoes not linked to climate change, experts say","droughts",4,969,0.00412796697626419,1.16315080980568,0.0048014481312928
"Strong tornadoes not linked to climate change, experts say","events",4,969,0.00412796697626419,1.38629436111989,0.00572257734208417
"Strong tornadoes not linked to climate change, experts say","evidence",4,969,0.00412796697626419,1.38629436111989,0.00572257734208417
"Strong tornadoes not linked to climate change, experts say","experts",4,969,0.00412796697626419,2.77258872223978,0.0114451546841683
"Strong tornadoes not linked to climate change, experts say","intensity",4,969,0.00412796697626419,2.07944154167984,0.00858386601312626
"Strong tornadoes not linked to climate change, experts say","it",4,969,0.00412796697626419,0.0645385211375712,0.000266412883952822
"Strong tornadoes not linked to climate change, experts say","made",4,969,0.00412796697626419,1.67397643357167,0.00691011943682837
"Strong tornadoes not linked to climate change, experts say","navy",4,969,0.00412796697626419,2.07944154167984,0.00858386601312626
"Strong tornadoes not linked to climate change, experts say","ok",4,969,0.00412796697626419,0.980829253011726,0.00404883076578628
"Strong tornadoes not linked to climate change, experts say","oklahoman",4,969,0.00412796697626419,0.980829253011726,0.00404883076578628
"Strong tornadoes not linked to climate change, experts say","policy",4,969,0.00412796697626419,0,0
"Strong tornadoes not linked to climate change, experts say","report",4,969,0.00412796697626419,0.826678573184468,0.00341250185009068
"Strong tornadoes not linked to climate change, experts say","s",4,969,0.00412796697626419,0.980829253011726,0.00404883076578628
"Strong tornadoes not linked to climate change, experts say","science",4,969,0.00412796697626419,0.374693449441411,0.00154672218551666
"Strong tornadoes not linked to climate change, experts say","since",4,969,0.00412796697626419,0.826678573184468,0.00341250185009068
"Strong tornadoes not linked to climate change, experts say","some",4,969,0.00412796697626419,0.374693449441411,0.00154672218551666
"WHAT WOULD DARWIN DO?","1",4,1820,0.0021978021978022,0,0
"WHAT WOULD DARWIN DO?","78",4,1820,0.0021978021978022,0,0
"WHAT WOULD DARWIN DO?","89",4,1820,0.0021978021978022,0.0645385211375712,0.000141842903599057
"WHAT WOULD DARWIN DO?","90",4,1820,0.0021978021978022,0.0645385211375712,0.000141842903599057
"WHAT WOULD DARWIN DO?","about",4,1820,0.0021978021978022,0,0
"WHAT WOULD DARWIN DO?","an",4,1820,0.0021978021978022,0,0
"WHAT WOULD DARWIN DO?","archaeology",4,1820,0.0021978021978022,2.77258872223978,0.00609360158734018
"WHAT WOULD DARWIN DO?","be",4,1820,0.0021978021978022,0,0
"WHAT WOULD DARWIN DO?","century",4,1820,0.0021978021978022,0.980829253011726,0.00215566868793786
"WHAT WOULD DARWIN DO?","colloquium",4,1820,0.0021978021978022,2.77258872223978,0.00609360158734018
"WHAT WOULD DARWIN DO?","conditions",4,1820,0.0021978021978022,0,0
"WHAT WOULD DARWIN DO?","diversity",4,1820,0.0021978021978022,2.77258872223978,0.00609360158734018
"WHAT WOULD DARWIN DO?","had",4,1820,0.0021978021978022,0.374693449441411,0.000823502086684419
"WHAT WOULD DARWIN DO?","high",4,1820,0.0021978021978022,1.16315080980568,0.00255637540616633
"WHAT WOULD DARWIN DO?","hopi",4,1820,0.0021978021978022,2.77258872223978,0.00609360158734018
"WHAT WOULD DARWIN DO?","ice",4,1820,0.0021978021978022,1.67397643357167,0.0036790690847729
"WHAT WOULD DARWIN DO?","kafatos",4,1820,0.0021978021978022,2.77258872223978,0.00609360158734018
"WHAT WOULD DARWIN DO?","most",4,1820,0.0021978021978022,0.575364144903562,0.00126453658220563
"WHAT WOULD DARWIN DO?","natural",4,1820,0.0021978021978022,0,0
"WHAT WOULD DARWIN DO?","news",4,1820,0.0021978021978022,0,0
"WHAT WOULD DARWIN DO?","pueblo",4,1820,0.0021978021978022,2.77258872223978,0.00609360158734018
"WHAT WOULD DARWIN DO?","spanish",4,1820,0.0021978021978022,2.77258872223978,0.00609360158734018
"WHAT WOULD DARWIN DO?","sweden",4,1820,0.0021978021978022,2.77258872223978,0.00609360158734018
"WHAT WOULD DARWIN DO?","this",4,1820,0.0021978021978022,0.0645385211375712,0.000141842903599057
"WHAT WOULD DARWIN DO?","time",4,1820,0.0021978021978022,0,0
"WHAT WOULD DARWIN DO?","two",4,1820,0.0021978021978022,0.980829253011726,0.00215566868793786
"WHAT WOULD DARWIN DO?","what",4,1820,0.0021978021978022,0.374693449441411,0.000823502086684419
"WHAT WOULD DARWIN DO?","when",4,1820,0.0021978021978022,0.133531392624523,0.000293475588185764
"WHAT WOULD DARWIN DO?","years",4,1820,0.0021978021978022,0.287682072451781,0.000632268291102815
"Why global climate change solutions shouldn‘t be government-led","2020",4,832,0.00480769230769231,1.38629436111989,0.00666487673615332
"Why global climate change solutions shouldn‘t be government-led","89",4,832,0.00480769230769231,0.0645385211375712,0.000310281351622938
"Why global climate change solutions shouldn‘t be government-led","90",4,832,0.00480769230769231,0.0645385211375712,0.000310281351622938
"Why global climate change solutions shouldn‘t be government-led","an",4,832,0.00480769230769231,0,0
"Why global climate change solutions shouldn‘t be government-led","arizona",4,832,0.00480769230769231,0,0
"Why global climate change solutions shouldn‘t be government-led","be",4,832,0.00480769230769231,0,0
"Why global climate change solutions shouldn‘t be government-led","but",4,832,0.00480769230769231,0.133531392624523,0.000641977849156359
"Why global climate change solutions shouldn‘t be government-led","conditions",4,832,0.00480769230769231,0,0
"Why global climate change solutions shouldn‘t be government-led","covid",4,832,0.00480769230769231,1.67397643357167,0.00804796362294073
"Why global climate change solutions shouldn‘t be government-led","enterprise",4,832,0.00480769230769231,0.826678573184468,0.00397441621723302
"Why global climate change solutions shouldn‘t be government-led","it",4,832,0.00480769230769231,0.0645385211375712,0.000310281351622938
"Why global climate change solutions shouldn‘t be government-led","its",4,832,0.00480769230769231,0.207639364778245,0.000998266176818484
"Why global climate change solutions shouldn‘t be government-led","new",4,832,0.00480769230769231,0,0
"Why global climate change solutions shouldn‘t be government-led","not",4,832,0.00480769230769231,0,0
"Why global climate change solutions shouldn‘t be government-led","on",4,832,0.00480769230769231,0,0
"Why global climate change solutions shouldn‘t be government-led","policy",4,832,0.00480769230769231,0,0
"Why global climate change solutions shouldn‘t be government-led","public",4,832,0.00480769230769231,0.207639364778245,0.000998266176818484
"Why global climate change solutions shouldn‘t be government-led","this",4,832,0.00480769230769231,0.0645385211375712,0.000310281351622938
"Why global climate change solutions shouldn‘t be government-led","type",4,832,0.00480769230769231,0,0
